"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"trees",2,6,22,73,245,815,2714,9032,30053,1e+05
"ooberrs",0.36,0.33,0.28,0.24,0.24,0.24,0.24,0.24,0.24,0.24
